movie,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
92ed4918-297a-48a0-8675-689d9e3d7a60,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
bf751c95-bcd1-43b3-b7db-34465265ef6e,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
bbf573ab-b6e9-4203-85d4-c26570fe65ff,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3ed392af-88dd-4aa8-af3e-bbabd3bd3a9c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820e755b-4485-43ce-9aa6-eac0feac3b72,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0c90aeaf-dced-43a1-a4b8-d04a02ed2a5d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7a02b812-5351-4f99-8f40-fac7fde4cc90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8b525c79-45a5-4eee-a614-a7b6f5e2bfac,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5cf363c1-cd17-4430-83c8-96671314654d,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9c9ac661-1352-43aa-8dfa-b7c843f5f96d,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6a9f7383-b086-4a6c-8bf5-7a3849f78f53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e5b7c5fe-f4e7-417d-84a5-d46299a67145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ccc3e0b6-a292-4f61-afaf-042b473ecf3c,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c39ed6ed-1342-4ed2-8fb3-549d1f749968,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6e0098cc-ca23-4efa-bf7b-19c0f4d0b938,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
da82ec01-b349-48e4-9de7-8d7aaa1425a4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
d8c669bc-2a0a-4bc2-ac53-079b8af5a6bb,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
a32fea33-f8fb-4555-b9d4-118e60b60e76,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a57625c5-29b5-40af-b767-7606ab7cb106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208705ef-81b3-4d16-8bde-573a20f2f479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
711f180e-487c-4c78-aac1-5bb3aada872a,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
88483524-0ab1-44d6-88c7-eabc4f37d3df,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
30b391f3-940a-45e3-adff-b717ef188c6e,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2e87ffe9-e245-486e-a9d5-022faae4815b,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a9abe342-c10a-4768-9582-e030d9ab545e,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a2a8d58f-f280-4d94-b397-1980bb5bd7c6,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
7e50582e-bf4b-4068-ba0f-8b4491719be6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79991fe5-370e-4235-aaeb-079fc23d8585,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
86eb347d-fe7e-409e-8048-bbc0d253f760,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
f332220a-f6ad-4595-82e7-611c29c89d69,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c3aae92e-b7d6-4b17-ae29-8d060d64cf49,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
